Theta,Density
0,0.007758727423528005
1,0.0077586883430798646
2,0.007758569995642077
3,0.007758368989894718
4,0.00775807942276625
5,0.007757692476163236
6,0.007757195794516447
7,0.007756572575344207
8,0.007755800269543761
9,0.00775484873681939
10,0.007753677626317549
11,0.007752232641650683
12,0.007750440188521114
13,0.007748199678933475
14,0.007745372484705712
15,0.007741766278754036
16,0.007737113609184064
17,0.007731045065282448
18,0.007723063190479422
19,0.007712540196032246
20,0.0076988028812352794
21,0.007712540196032246
22,0.007723063190479422
23,0.007731045065282448
24,0.007737113609184064
25,0.007741766278754036
26,0.007745372484705712
27,0.007748199678933475
28,0.007750440188521114
29,0.007752232641650683
30,0.007753677626317549
31,0.00775484873681939
32,0.007755800269543761
33,0.007756572575344207
34,0.007757195794516447
35,0.007757692476163236
36,0.00775807942276625
37,0.007758368989894718
38,0.007758569995642077
39,0.0077586883430798646
